,country_id,league_id,season,stage,date,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,country,league,year,home_team_lname,home_team_sname,away_team_lname,away_team_sname
0,1,1,2008/2009,1,2008-08-17,492473,9987,9993,1,1,Belgium,Belgium Jupiler League,2008,KRC Genk,GEN,Beerschot AC,BAC
1,1,1,2008/2009,1,2008-08-16,492474,10000,9994,0,0,Belgium,Belgium Jupiler League,2008,SV Zulte-Waregem,ZUL,Sporting Lokeren,LOK
2,1,1,2008/2009,1,2008-08-16,492475,9984,8635,0,3,Belgium,Belgium Jupiler League,2008,KSV Cercle Brugge,CEB,RSC Anderlecht,AND
3,1,1,2008/2009,1,2008-08-17,492476,9991,9998,5,0,Belgium,Belgium Jupiler League,2008,KAA Gent,GEN,RAEC Mons,MON
4,1,1,2008/2009,1,2008-08-16,492477,7947,9985,1,3,Belgium,Belgium Jupiler League,2008,FCV Dender EH,DEN,Standard de Liège,STL
5,1,1,2008/2009,1,2008-09-24,492478,8203,8342,1,1,Belgium,Belgium Jupiler League,2008,KV Mechelen,MEC,Club Brugge KV,CLB
6,1,1,2008/2009,1,2008-08-16,492479,9999,8571,2,2,Belgium,Belgium Jupiler League,2008,KSV Roeselare,ROS,KV Kortrijk,KOR
7,1,1,2008/2009,1,2008-08-16,492480,4049,9996,1,2,Belgium,Belgium Jupiler League,2008,Tubize,TUB,Royal Excel Mouscron,MOU
8,1,1,2008/2009,1,2008-08-16,492481,10001,9986,1,0,Belgium,Belgium Jupiler League,2008,KVC Westerlo,WES,Sporting Charleroi,CHA
9,1,1,2008/2009,10,2008-11-01,492564,8342,8571,4,1,Belgium,Belgium Jupiler League,2008,Club Brugge KV,CLB,KV Kortrijk,KOR
10,1,1,2008/2009,10,2008-10-31,492565,9985,9986,1,2,Belgium,Belgium Jupiler League,2008,Standard de Liège,STL,Sporting Charleroi,CHA
11,1,1,2008/2009,10,2008-11-02,492566,10000,9991,0,2,Belgium,Belgium Jupiler League,2008,SV Zulte-Waregem,ZUL,KAA Gent,GEN
12,1,1,2008/2009,10,2008-11-01,492567,9994,9998,0,0,Belgium,Belgium Jupiler League,2008,Sporting Lokeren,LOK,RAEC Mons,MON
13,1,1,2008/2009,10,2008-11-01,492568,7947,10001,2,2,Belgium,Belgium Jupiler League,2008,FCV Dender EH,DEN,KVC Westerlo,WES
14,1,1,2008/2009,10,2008-11-01,492569,8203,9999,1,2,Belgium,Belgium Jupiler League,2008,KV Mechelen,MEC,KSV Roeselare,ROS
15,1,1,2008/2009,10,2008-11-01,492570,9996,9984,0,1,Belgium,Belgium Jupiler League,2008,Royal Excel Mouscron,MOU,KSV Cercle Brugge,CEB
16,1,1,2008/2009,10,2008-11-01,492571,4049,9987,1,3,Belgium,Belgium Jupiler League,2008,Tubize,TUB,KRC Genk,GEN
17,1,1,2008/2009,10,2008-11-02,492572,9993,8635,1,3,Belgium,Belgium Jupiler League,2008,Beerschot AC,BAC,RSC Anderlecht,AND
18,1,1,2008/2009,11,2008-11-08,492573,8635,9994,2,3,Belgium,Belgium Jupiler League,2008,RSC Anderlecht,AND,Sporting Lokeren,LOK
19,1,1,2008/2009,11,2008-11-08,492574,9998,9996,0,0,Belgium,Belgium Jupiler League,2008,RAEC Mons,MON,Royal Excel Mouscron,MOU
20,1,1,2008/2009,11,2008-11-09,492575,9986,8342,2,2,Belgium,Belgium Jupiler League,2008,Sporting Charleroi,CHA,Club Brugge KV,CLB
21,1,1,2008/2009,11,2008-11-07,492576,9984,10000,2,0,Belgium,Belgium Jupiler League,2008,KSV Cercle Brugge,CEB,SV Zulte-Waregem,ZUL
22,1,1,2008/2009,11,2008-11-08,492577,9991,7947,1,1,Belgium,Belgium Jupiler League,2008,KAA Gent,GEN,FCV Dender EH,DEN
23,1,1,2008/2009,11,2008-11-08,492578,9999,4049,1,2,Belgium,Belgium Jupiler League,2008,KSV Roeselare,ROS,Tubize,TUB
24,1,1,2008/2009,11,2008-11-08,492579,8571,8203,0,0,Belgium,Belgium Jupiler League,2008,KV Kortrijk,KOR,KV Mechelen,MEC
25,1,1,2008/2009,11,2008-11-08,492580,10001,9987,1,0,Belgium,Belgium Jupiler League,2008,KVC Westerlo,WES,KRC Genk,GEN
26,1,1,2008/2009,11,2008-11-09,492581,9993,9985,1,3,Belgium,Belgium Jupiler League,2008,Beerschot AC,BAC,Standard de Liège,STL
27,1,1,2008/2009,12,2008-11-16,492582,8342,8635,1,1,Belgium,Belgium Jupiler League,2008,Club Brugge KV,CLB,RSC Anderlecht,AND
28,1,1,2008/2009,12,2008-11-15,492583,9987,9999,1,1,Belgium,Belgium Jupiler League,2008,KRC Genk,GEN,KSV Roeselare,ROS
29,1,1,2008/2009,12,2008-11-15,492584,10000,9993,2,2,Belgium,Belgium Jupiler League,2008,SV Zulte-Waregem,ZUL,Beerschot AC,BAC
30,1,1,2008/2009,12,2008-11-16,492585,9994,9985,1,1,Belgium,Belgium Jupiler League,2008,Sporting Lokeren,LOK,Standard de Liège,STL
31,1,1,2008/2009,12,2008-11-15,492586,7947,8571,1,0,Belgium,Belgium Jupiler League,2008,FCV Dender EH,DEN,KV Kortrijk,KOR
32,1,1,2008/2009,12,2008-11-15,492587,8203,9998,0,0,Belgium,Belgium Jupiler League,2008,KV Mechelen,MEC,RAEC Mons,MON
33,1,1,2008/2009,12,2008-11-15,492588,9996,9986,2,1,Belgium,Belgium Jupiler League,2008,Royal Excel Mouscron,MOU,Sporting Charleroi,CHA
34,1,1,2008/2009,12,2008-11-15,492589,4049,9984,3,0,Belgium,Belgium Jupiler League,2008,Tubize,TUB,KSV Cercle Brugge,CEB
35,1,1,2008/2009,12,2008-11-14,492590,10001,9991,3,2,Belgium,Belgium Jupiler League,2008,KVC Westerlo,WES,KAA Gent,GEN
36,1,1,2008/2009,13,2008-11-22,492591,8635,10001,2,0,Belgium,Belgium Jupiler League,2008,RSC Anderlecht,AND,KVC Westerlo,WES
37,1,1,2008/2009,13,2008-11-22,492592,9985,9996,3,1,Belgium,Belgium Jupiler League,2008,Standard de Liège,STL,Royal Excel Mouscron,MOU
38,1,1,2008/2009,13,2008-11-22,492622,9998,8342,1,2,Belgium,Belgium Jupiler League,2008,RAEC Mons,MON,Club Brugge KV,CLB
39,1,1,2008/2009,13,2008-11-22,492623,9986,4049,3,2,Belgium,Belgium Jupiler League,2008,Sporting Charleroi,CHA,Tubize,TUB
40,1,1,2008/2009,13,2008-11-22,492624,9984,8203,2,1,Belgium,Belgium Jupiler League,2008,KSV Cercle Brugge,CEB,KV Mechelen,MEC
41,1,1,2008/2009,13,2008-11-23,492628,9991,9987,2,3,Belgium,Belgium Jupiler League,2008,KAA Gent,GEN,KRC Genk,GEN
42,1,1,2008/2009,13,2008-11-22,492631,9999,7947,2,2,Belgium,Belgium Jupiler League,2008,KSV Roeselare,ROS,FCV Dender EH,DEN
43,1,1,2008/2009,13,2008-12-16,492636,8571,10000,1,0,Belgium,Belgium Jupiler League,2008,KV Kortrijk,KOR,SV Zulte-Waregem,ZUL
44,1,1,2008/2009,13,2008-11-22,492638,9993,9994,0,2,Belgium,Belgium Jupiler League,2008,Beerschot AC,BAC,Sporting Lokeren,LOK
45,1,1,2008/2009,14,2008-11-30,492649,8342,9993,3,0,Belgium,Belgium Jupiler League,2008,Club Brugge KV,CLB,Beerschot AC,BAC
46,1,1,2008/2009,14,2008-11-29,492651,9987,9984,3,2,Belgium,Belgium Jupiler League,2008,KRC Genk,GEN,KSV Cercle Brugge,CEB
47,1,1,2008/2009,14,2008-11-29,492658,10000,9986,4,2,Belgium,Belgium Jupiler League,2008,SV Zulte-Waregem,ZUL,Sporting Charleroi,CHA
48,1,1,2008/2009,14,2008-11-29,492662,9991,9999,4,0,Belgium,Belgium Jupiler League,2008,KAA Gent,GEN,KSV Roeselare,ROS
49,1,1,2008/2009,14,2008-11-28,492664,7947,8635,0,2,Belgium,Belgium Jupiler League,2008,FCV Dender EH,DEN,RSC Anderlecht,AND
50,1,1,2008/2009,14,2008-11-30,492666,8203,9985,0,0,Belgium,Belgium Jupiler League,2008,KV Mechelen,MEC,Standard de Liège,STL
51,1,1,2008/2009,14,2008-11-29,492670,9996,9994,2,0,Belgium,Belgium Jupiler League,2008,Royal Excel Mouscron,MOU,Sporting Lokeren,LOK
52,1,1,2008/2009,14,2008-11-29,492674,4049,8571,3,3,Belgium,Belgium Jupiler League,2008,Tubize,TUB,KV Kortrijk,KOR
53,1,1,2008/2009,14,2008-11-29,492677,10001,9998,2,1,Belgium,Belgium Jupiler League,2008,KVC Westerlo,WES,RAEC Mons,MON
54,1,1,2008/2009,15,2008-12-06,492683,8635,4049,5,1,Belgium,Belgium Jupiler League,2008,RSC Anderlecht,AND,Tubize,TUB
55,1,1,2008/2009,15,2008-12-06,492686,9985,10000,1,2,Belgium,Belgium Jupiler League,2008,Standard de Liège,STL,SV Zulte-Waregem,ZUL
56,1,1,2008/2009,15,2008-12-06,492689,9998,7947,5,2,Belgium,Belgium Jupiler League,2008,RAEC Mons,MON,FCV Dender EH,DEN
57,1,1,2008/2009,15,2008-12-06,492692,9986,8203,1,2,Belgium,Belgium Jupiler League,2008,Sporting Charleroi,CHA,KV Mechelen,MEC
58,1,1,2008/2009,15,2008-12-05,492693,9984,9991,3,1,Belgium,Belgium Jupiler League,2008,KSV Cercle Brugge,CEB,KAA Gent,GEN
59,1,1,2008/2009,15,2008-12-07,492696,9994,8342,2,0,Belgium,Belgium Jupiler League,2008,Sporting Lokeren,LOK,Club Brugge KV,CLB
60,1,1,2008/2009,15,2008-12-06,492699,9999,10001,1,0,Belgium,Belgium Jupiler League,2008,KSV Roeselare,ROS,KVC Westerlo,WES
61,1,1,2008/2009,15,2008-12-07,492702,8571,9987,3,1,Belgium,Belgium Jupiler League,2008,KV Kortrijk,KOR,KRC Genk,GEN
62,1,1,2008/2009,15,2008-12-06,492706,9993,9996,3,0,Belgium,Belgium Jupiler League,2008,Beerschot AC,BAC,Royal Excel Mouscron,MOU
63,1,1,2008/2009,16,2008-12-14,492709,8342,9985,1,4,Belgium,Belgium Jupiler League,2008,Club Brugge KV,CLB,Standard de Liège,STL
64,1,1,2008/2009,16,2008-12-13,492713,9987,9986,1,0,Belgium,Belgium Jupiler League,2008,KRC Genk,GEN,Sporting Charleroi,CHA
65,1,1,2008/2009,16,2008-12-13,492717,10000,9996,2,1,Belgium,Belgium Jupiler League,2008,SV Zulte-Waregem,ZUL,Royal Excel Mouscron,MOU
66,1,1,2008/2009,16,2008-12-13,492720,9991,8571,1,1,Belgium,Belgium Jupiler League,2008,KAA Gent,GEN,KV Kortrijk,KOR
67,1,1,2008/2009,16,2008-12-13,492722,7947,9994,1,1,Belgium,Belgium Jupiler League,2008,FCV Dender EH,DEN,Sporting Lokeren,LOK
68,1,1,2008/2009,16,2008-12-12,492724,8203,9993,2,1,Belgium,Belgium Jupiler League,2008,KV Mechelen,MEC,Beerschot AC,BAC
69,1,1,2008/2009,16,2008-12-14,492728,9999,8635,0,3,Belgium,Belgium Jupiler League,2008,KSV Roeselare,ROS,RSC Anderlecht,AND
70,1,1,2008/2009,16,2008-12-13,492734,4049,9998,2,1,Belgium,Belgium Jupiler League,2008,Tubize,TUB,RAEC Mons,MON
71,1,1,2008/2009,16,2008-12-13,492735,10001,9984,1,2,Belgium,Belgium Jupiler League,2008,KVC Westerlo,WES,KSV Cercle Brugge,CEB
72,1,1,2008/2009,17,2008-12-19,492742,8635,9987,2,0,Belgium,Belgium Jupiler League,2008,RSC Anderlecht,AND,KRC Genk,GEN
73,1,1,2008/2009,17,2008-12-21,492745,9985,9991,2,1,Belgium,Belgium Jupiler League,2008,Standard de Liège,STL,KAA Gent,GEN
74,1,1,2008/2009,17,2008-12-20,492746,9998,10000,2,2,Belgium,Belgium Jupiler League,2008,RAEC Mons,MON,SV Zulte-Waregem,ZUL
75,1,1,2008/2009,17,2008-12-20,492749,9986,7947,2,0,Belgium,Belgium Jupiler League,2008,Sporting Charleroi,CHA,FCV Dender EH,DEN
76,1,1,2008/2009,17,2008-12-20,492753,9984,9999,4,3,Belgium,Belgium Jupiler League,2008,KSV Cercle Brugge,CEB,KSV Roeselare,ROS
77,1,1,2008/2009,17,2008-12-20,492757,9994,8203,2,2,Belgium,Belgium Jupiler League,2008,Sporting Lokeren,LOK,KV Mechelen,MEC
78,1,1,2008/2009,17,2008-12-20,492758,9996,8342,5,1,Belgium,Belgium Jupiler League,2008,Royal Excel Mouscron,MOU,Club Brugge KV,CLB
79,1,1,2008/2009,17,2008-12-21,492760,8571,10001,0,0,Belgium,Belgium Jupiler League,2008,KV Kortrijk,KOR,KVC Westerlo,WES
80,1,1,2008/2009,17,2008-12-20,492763,9993,4049,2,0,Belgium,Belgium Jupiler League,2008,Beerschot AC,BAC,Tubize,TUB
81,1,1,2008/2009,18,2009-01-18,492769,9993,9987,4,1,Belgium,Belgium Jupiler League,2009,Beerschot AC,BAC,KRC Genk,GEN
82,1,1,2008/2009,18,2009-01-17,492772,9994,10000,2,1,Belgium,Belgium Jupiler League,2009,Sporting Lokeren,LOK,SV Zulte-Waregem,ZUL
83,1,1,2008/2009,18,2009-01-16,492775,8635,9984,1,2,Belgium,Belgium Jupiler League,2009,RSC Anderlecht,AND,KSV Cercle Brugge,CEB
84,1,1,2008/2009,18,2009-01-17,492779,9998,9991,1,2,Belgium,Belgium Jupiler League,2009,RAEC Mons,MON,KAA Gent,GEN
85,1,1,2008/2009,18,2009-01-17,492781,9985,7947,3,2,Belgium,Belgium Jupiler League,2009,Standard de Liège,STL,FCV Dender EH,DEN
86,1,1,2008/2009,18,2009-01-17,492782,8342,8203,3,0,Belgium,Belgium Jupiler League,2009,Club Brugge KV,CLB,KV Mechelen,MEC
87,1,1,2008/2009,18,2009-01-17,492785,8571,9999,2,1,Belgium,Belgium Jupiler League,2009,KV Kortrijk,KOR,KSV Roeselare,ROS
88,1,1,2008/2009,18,2009-01-17,492789,9996,4049,1,1,Belgium,Belgium Jupiler League,2009,Royal Excel Mouscron,MOU,Tubize,TUB
89,1,1,2008/2009,18,2009-01-18,492792,9986,10001,1,2,Belgium,Belgium Jupiler League,2009,Sporting Charleroi,CHA,KVC Westerlo,WES
90,1,1,2008/2009,19,2009-01-25,492798,10000,8342,3,1,Belgium,Belgium Jupiler League,2009,SV Zulte-Waregem,ZUL,Club Brugge KV,CLB
91,1,1,2008/2009,19,2009-02-18,492801,9991,8635,1,2,Belgium,Belgium Jupiler League,2009,KAA Gent,GEN,RSC Anderlecht,AND
92,1,1,2008/2009,19,2009-01-25,492804,10001,9985,0,1,Belgium,Belgium Jupiler League,2009,KVC Westerlo,WES,Standard de Liège,STL
93,1,1,2008/2009,19,2009-01-24,492805,9987,9998,2,0,Belgium,Belgium Jupiler League,2009,KRC Genk,GEN,RAEC Mons,MON
94,1,1,2008/2009,19,2009-01-24,492807,9999,9986,3,1,Belgium,Belgium Jupiler League,2009,KSV Roeselare,ROS,Sporting Charleroi,CHA
95,1,1,2008/2009,19,2009-01-24,492810,4049,9994,2,1,Belgium,Belgium Jupiler League,2009,Tubize,TUB,Sporting Lokeren,LOK
96,1,1,2008/2009,19,2009-01-24,492814,8203,9996,2,2,Belgium,Belgium Jupiler League,2009,KV Mechelen,MEC,Royal Excel Mouscron,MOU
97,1,1,2008/2009,19,2009-01-24,492817,9984,8571,0,1,Belgium,Belgium Jupiler League,2009,KSV Cercle Brugge,CEB,KV Kortrijk,KOR
98,1,1,2008/2009,19,2009-01-24,492819,7947,9993,0,1,Belgium,Belgium Jupiler League,2009,FCV Dender EH,DEN,Beerschot AC,BAC
99,1,1,2008/2009,2,2008-10-29,492482,8342,10000,2,0,Belgium,Belgium Jupiler League,2008,Club Brugge KV,CLB,SV Zulte-Waregem,ZUL
100,1,1,2008/2009,2,2008-08-23,492483,8635,9991,2,2,Belgium,Belgium Jupiler League,2008,RSC Anderlecht,AND,KAA Gent,GEN
101,1,1,2008/2009,2,2008-08-23,492484,9985,10001,3,0,Belgium,Belgium Jupiler League,2008,Standard de Liège,STL,KVC Westerlo,WES
102,1,1,2008/2009,2,2008-08-24,492485,9998,9987,3,1,Belgium,Belgium Jupiler League,2008,RAEC Mons,MON,KRC Genk,GEN
103,1,1,2008/2009,2,2008-08-23,492486,9986,9999,1,0,Belgium,Belgium Jupiler League,2008,Sporting Charleroi,CHA,KSV Roeselare,ROS
104,1,1,2008/2009,2,2008-08-23,492487,9994,4049,4,1,Belgium,Belgium Jupiler League,2008,Sporting Lokeren,LOK,Tubize,TUB
105,1,1,2008/2009,2,2008-08-23,492488,9996,8203,3,1,Belgium,Belgium Jupiler League,2008,Royal Excel Mouscron,MOU,KV Mechelen,MEC
106,1,1,2008/2009,2,2008-08-23,492489,8571,9984,2,1,Belgium,Belgium Jupiler League,2008,KV Kortrijk,KOR,KSV Cercle Brugge,CEB
107,1,1,2008/2009,2,2008-08-23,492490,9993,7947,1,1,Belgium,Belgium Jupiler League,2008,Beerschot AC,BAC,FCV Dender EH,DEN
108,1,1,2008/2009,20,2009-01-31,492822,8571,8635,1,3,Belgium,Belgium Jupiler League,2009,KV Kortrijk,KOR,RSC Anderlecht,AND
109,1,1,2008/2009,20,2009-02-01,492844,9994,9987,1,2,Belgium,Belgium Jupiler League,2009,Sporting Lokeren,LOK,KRC Genk,GEN
110,1,1,2008/2009,20,2009-01-31,492845,9998,9984,1,1,Belgium,Belgium Jupiler League,2009,RAEC Mons,MON,KSV Cercle Brugge,CEB
111,1,1,2008/2009,20,2009-02-01,492847,9986,9991,2,5,Belgium,Belgium Jupiler League,2009,Sporting Charleroi,CHA,KAA Gent,GEN
112,1,1,2008/2009,20,2009-01-31,492849,9996,7947,0,2,Belgium,Belgium Jupiler League,2009,Royal Excel Mouscron,MOU,FCV Dender EH,DEN
113,1,1,2008/2009,20,2009-01-31,492851,10000,8203,1,1,Belgium,Belgium Jupiler League,2009,SV Zulte-Waregem,ZUL,KV Mechelen,MEC
114,1,1,2008/2009,20,2009-01-31,492853,9985,9999,3,0,Belgium,Belgium Jupiler League,2009,Standard de Liège,STL,KSV Roeselare,ROS
115,1,1,2008/2009,20,2009-01-31,492856,8342,4049,3,1,Belgium,Belgium Jupiler League,2009,Club Brugge KV,CLB,Tubize,TUB
116,1,1,2008/2009,20,2009-01-31,492858,9993,10001,2,1,Belgium,Belgium Jupiler League,2009,Beerschot AC,BAC,KVC Westerlo,WES
117,1,1,2008/2009,21,2009-02-07,492989,7947,8342,0,2,Belgium,Belgium Jupiler League,2009,FCV Dender EH,DEN,Club Brugge KV,CLB
118,1,1,2008/2009,21,2009-02-06,492990,8571,9985,0,2,Belgium,Belgium Jupiler League,2009,KV Kortrijk,KOR,Standard de Liège,STL
119,1,1,2008/2009,21,2009-02-07,492991,8635,9998,3,2,Belgium,Belgium Jupiler League,2009,RSC Anderlecht,AND,RAEC Mons,MON
120,1,1,2008/2009,21,2009-02-07,492992,9987,10000,1,2,Belgium,Belgium Jupiler League,2009,KRC Genk,GEN,SV Zulte-Waregem,ZUL
121,1,1,2008/2009,21,2009-02-08,492993,9984,9986,2,2,Belgium,Belgium Jupiler League,2009,KSV Cercle Brugge,CEB,Sporting Charleroi,CHA
122,1,1,2008/2009,21,2009-02-08,492994,10001,9994,1,0,Belgium,Belgium Jupiler League,2009,KVC Westerlo,WES,Sporting Lokeren,LOK
