ID,Team Name
1896,Sporting Braga
1837,Sampdoria
17,Southampton FC
1808,Brighton & Hove Albion
1819,AS Saint-Étienne
1853,Levante UD
65,Lille OSC
111974,Sassuolo Calcio
144,Fulham FC
189,Bologna FC
1842,Cagliari Calcio
55,Udinese Calcio
231,Club Brugge KV
70,Montpellier HSC
169,1. FSV Mainz 05
71,FC Nantes
72,OGC Nice
74,Stade Rennes
100888,CD Leganés
673,KRC Genk
1939,Huddersfield Town
110556,Genoa CFC
462,Real Valladolid
246,Feyenoord
112791,SPAL 2013 Ferrara
100409,FC Augsburg
1887,Vitória Guimarães
485,Hannover 96
1530,Angers SCO
25,SC Freiburg
379,Stade Reims
59,Girondins Bordeaux
76,RC Strasbourg
78,Celtic FC
480,Rayo Vallecano
86,Rangers FC
896,FC Basel
110839,SD Huesca
192,Chievo Verona
232,Standard de Liège
1906,AZ Alkmaar
1816,Amiens SC
1809,Toulouse FC
62,EA Guingamp
110636,Fortuna Düsseldorf
1961,Cardiff City
229,RSC Anderlecht
50,Parma FC
224,Nîmes Olympique
900,BSC Young Boys
1903,FC Utrecht
210,SM Caen
1900,Moreirense FC
171,1. FC Nürnberg
111657,Frosinone Calcio
674,KAA Gent
110569,Dijon FCO
1746,Empoli FC
1909,Vitesse
230,Royal Antwerp FC
1889,Os Belenenses
463,CD Alavés
110374,ACF Fiorentina
39,Atalanta
36,VfB Stuttgart
13,Newcastle United
744,Rio Ave FC
243,Real Madrid
241,FC Barcelona
45,Juventus
10,Manchester City
21,Bayern München
240,Atlético Madrid
73,Paris Saint-Germain
5,Chelsea FC
18,Tottenham Hotspur
9,Liverpool FC
44,Inter
1,Arsenal FC
11,Manchester United
48,SSC Napoli
22,Borussia Dortmund
46,Lazio Roma
52,AS Roma
32,Bayer Leverkusen
461,Valencia CF
47,AC Milan
481,Sevilla FC
236,FC Porto
449,Real Betis
245,AFC Ajax
23,Bor. Mönchengladbach
66,Olympique Lyon
448,Athletic Bilbao
112172,RB Leipzig
7,Everton FC
69,AS Monaco
483,Villarreal CF
234,SL Benfica
34,FC Schalke 04
95,Leicester City
19,West Ham United
1824,Eintracht Frankfurt
457,Real Sociedad
10029,1899 Hoffenheim
219,Olympique Marseille
175,VfL Wolfsburg
237,Sporting CP
54,Torino FC
1796,Burnley FC
1799,Crystal Palace
1860,Getafe CF
467,SD Eibar
1943,AFC Bournemouth
1795,Watford FC
450,Celta Vigo
110062,Girona FC
38,Werder Bremen
166,Hertha BSC
247,PSV Eindhoven
110,Wolverhampton Wanderers
452,Espanyol Barcelona
1898,Boavista
1893,CS Marítimo
670,Sporting Charleroi
680,Sint-Truidense VV
15005,SV Zulte Waregem
518,GD Chaves
1438,CD Santa Clara
665,Vitória Setúbal
112516,CD Tondela
682,KV Oostende
1871,Legia Warszawa
10031,Portimonense SC
666,CD Aves
1891,CD Nacional
100081,KV Kortrijk
1915,FC Groningen
650,ADO Den Haag
1750,Cercle Brugge
100634,Heracles Almelo
2013,AS Eupen
110770,FC Sion
1907,Willem II
1913,sc Heerenveen
111091,Lechia Gdańsk
10019,CD Feirense
82,Kilmarnock FC
873,Lech Poznań
77,Aberdeen FC
1914,PEC Zwolle
634,Fortuna Sittard
2007,Sporting Lokeren
100651,VVV-Venlo
80,Heart of Midlothian
894,FC Zürich
1971,SBV Excelsior
81,Hibernian FC
110913,Waasland-Beveren
110745,Jagiellonia Białystok
1904,NAC Breda
111560,Royal Excel Mouscron
110746,Pogoń Szczecin
83,Motherwell FC
10032,FC Lugano
100628,FC Emmen
897,FC Luzern
635,De Graafschap
111086,Piast Gliwice
322,Grasshopper Club Zürich
420,Górnik Zabrze
1569,Wisła Płock
1873,Wisła Kraków
111092,Śląsk Wrocław
100804,St. Johnstone FC
110747,KS Cracovia
898,FC St. Gallen
110749,Zagłębie Lubin
111082,Arka Gdynia
112505,Miedź Legnica
1715,FC Thun
435,Neuchâtel Xamax FCS
621,Livingston FC
111083,Korona Kielce
111089,Zagłębie Sosnowiec
180,Dundee FC
184,Hamilton Academical
100805,St. Mirren FC
1806,Stoke City
31,1. FC Köln
472,UD Las Palmas
573,Málaga CF
1960,Swansea City
28,Hamburger SV
206,Hellas Verona
112026,Benevento Calcio
68,FC Metz
1892,Paços de Ferreira
294,ESTAC Troyes
110734,FC Crotone
110724,KV Mechelen
1908,FC Twente
1902,Roda JC Kerkrade
100646,Sparta Rotterdam
242,Deportivo La Coruña
112510,Termalica Bruk-Bet Nieciecza
631,Ross County FC
109,West Bromwich Albion
1862,FC Lausanne-Sport
1754,Partick Thistle
112508,Sandecja Nowy Sącz
10020,GD Estoril
106,Sunderland AFC
12,Middlesbrough FC
1952,Hull City
459,Sporting Gijón
110832,Granada CF
479,CA Osasuna
217,FC Lorient
1843,US Palermo
110502,SV Darmstadt 98
111239,FC Ingolstadt 04
200,Pescara Calcio
58,SC Bastia
112513,FC Arouca
1823,AS Nancy
681,KVC Westerlo
1910,NEC Nijmegen
100632,Go Ahead Eagles
620,Inverness CT
110565,Górnik Łęczna
286,FC Vaduz
874,Ruch Chorzów
2,Aston Villa
1792,Norwich City
112409,Carpi FC
1901,Académica de Coimbra
112517,União da Madeira
110316,GFC Ajaccio
647,SC Cambuur
100087,Oud-Heverlee Leuven
181,Dundee United
111087,Podbeskidzie Bielsko-Biała
468,Elche CF
1861,UD Almería
1867,Córdoba CF
111271,Évian Thonon Gaillard
10030,SC Paderborn 07
110915,AC Cesena
64,RC Lens
100741,FC Penafiel
1888,Gil Vicente
15,Queens Park Rangers
239,Lierse SK
112512,Zawisza Bydgoszcz
100626,FC Dordrecht
110744,GKS Bełchatów
434,FC Aarau
1844,AS Livorno
110456,Valenciennes FC
110364,Calcio Catania
110500,Eintracht Braunschweig
226,FC Sochaux
614,AC Ajaccio
111540,SC Olhanense
1905,RKC Waalwijk
1747,RAEC Mons
301,Widzew Łódź
1917,Wigan Athletic
453,RCD Mallorca
244,Real Zaragoza
1838,"AC Siena,"
1793,Reading FC
165,SpVgg Greuther Fürth
378,Stade Brest
1897,SC Beira-Mar
675,Beerschot AC
1570,Polonia Warszawa
324,Servette Genève
4,Bolton Wanderers
3,Blackburn Rovers
57,AJ Auxerre
347,US Lecce
29,1. FC Kaiserslautern
456,Racing Santander
112225,Novara Calcio
1895,União Leiria
182,Dunfermline Athletic
111085,ŁKS Łódź
1848,AS Bari
100879,Hércules CF
88,Birmingham City
110329,FC St. Pauli
260,CD Tenerife
160,VfL Bochum
1742,Xerez CD
111989,AC Arles-Avignon
1805,Grenoble Foot 38
1739,Le Mans UC 72
571,Recreativo Huelva
1926,Blackpool FC
190,Brescia Calcio
1790,Portsmouth FC
111376,US Boulogne
1832,Karlsruher SC
203,Reggina Calcio
159,Arminia Bielefeld
477,CD Numancia
162,Energie Cottbus
1847,Ascoli Calcio
15019,Gimnàstic
1794,Sheffield United
1738,Le Havre AC
1845,FC Messina
1826,Alemannia Aachen
1855,Real Murcia
613,CS Sedan
1825,MSV Duisburg
91,Derby County
27,Hansa Rostock
10018,Leixões SC
100737,Naval 1° de Maio
111984,CD Trofense
718,Estrela Amadora
79,Falkirk FC
672,Royal Mouscron-PÃ©ruwelz
1714,AC Bellinzona
546,KSV Roeselare
645,FC Volendam
537,FCV Dender EH
110306,AFC Tubize
8001,FC Molenbeek Brussels
669,KSK Beveren
89,Charlton Athletic
111429,Polonia Bytom
111206,Gretna FC
1564,Odra Wodzisław
100994,FC Schaffhausen
